,Zipcode,City,Lat,Lng,Population,counts
46021,92250,Holtville,32.83,-115.19,6337,0
46019,92347,Hinkley,34.95,-117.18,996,0
46018,92346,Highland,34.13,-117.15,40992,0
46017,92345,Hesperia,34.36,-117.32,52569,0
46015,92344,Hesperia,34.39,-117.39,13963,0
46014,92340,Hesperia,34.41,-117.27,2409,0
46013,92546,Hemet,33.74,-116.97,1153,0
46012,92545,Hemet,33.73,-117.05,26648,0
46011,92544,Hemet,33.64,-116.83,30633,0
46010,92543,Hemet,33.66,-116.98,19884,0
46008,92342,Helendale,34.74,-117.35,4734,0
46007,92249,Heber,32.73,-115.47,5698,0
46005,92339,Forest Falls,34.08,-116.9,792,0
46004,92337,Fontana,34.05,-117.46,27988,0
46003,92336,Fontana,34.14,-117.45,66178,0
46002,92335,Fontana,34.08,-117.46,65832,0
46001,92334,Fontana,34.07,-117.46,1833,0
45998,92088,Fallbrook,33.36,-117.25,2049,0
45938,91915,Chula Vista,32.6,-116.93,19456,0
45937,91914,Chula Vista,32.66,-116.94,12078,0
45936,91913,Chula Vista,32.64,-116.98,31558,0
45887,92386,Sugarloaf,34.24,-116.82,1396,0
45886,92314,Big Bear City,34.26,-116.84,6104,0
45884,92223,Beaumont,33.94,-116.97,31758,0
45883,92312,Barstow,34.97,-117.05,1317,0
45881,92311,Barstow,34.97,-116.99,21613,0
45879,92310,Fort Irwin,35.3,-116.74,6090,0
45877,92220,Banning,33.92,-116.83,21934,0
45872,92309,Baker,35.31,-116.04,597,0
45870,92308,Apple Valley,34.42,-117.14,26211,0
45869,92307,Apple Valley,34.57,-117.15,28280,0
45868,92539,Anza,33.53,-116.68,2965,0
45866,92305,Angelus Oaks,34.18,-116.86,521,0
45863,91903,Alpine,32.83,-116.76,1898,0
45862,91901,Alpine,32.8,-116.71,12512,0
45860,92536,Aguanga,33.5,-116.81,2501,0
45858,92301,Adelanto,34.66,-117.51,18944,0
45849,91367,Woodland Hills,34.17,-118.61,31168,0
45847,91365,Woodland Hills,34.16,-118.6,713,0
45845,91364,Woodland Hills,34.15,-118.6,21888,0
45840,91302,Calabasas,34.11,-118.67,22015,0
45838,93286,Woodlake,36.46,-119.1,6406,0
45836,93285,Wofford Heights,35.7,-118.5,1528,0
45835,93283,Weldon,35.44,-118.25,1178,0
45834,93280,Wasco,35.64,-119.44,14256,0
45833,93292,Visalia,36.37,-119.18,26810,0
45889,92315,Big Bear Lake,34.23,-116.86,6550,0
45891,92316,Bloomington,34.06,-117.39,22380,0
45893,92317,Blue Jay,34.25,-117.21,3387,0
45894,92225,Blythe,33.75,-114.51,10038,0
45935,91912,Chula Vista,32.64,-117.08,3394,0
45934,91911,Chula Vista,32.61,-117.03,66861,0
45932,91909,Chula Vista,32.61,-117.06,841,0
45931,92321,Cedar Glen,34.25,-117.16,1202,0
45929,92235,Cathedral City,33.77,-116.46,2167,0
45927,92234,Cathedral City,33.82,-116.45,34119,0
45926,92018,Carlsbad,33.16,-117.34,1656,0
45925,92013,Carlsbad,33.15,-117.35,671,0
45922,92011,Carlsbad,33.1,-117.29,18094,0
45921,92010,Carlsbad,33.15,-117.28,11702,0
45919,92009,Carlsbad,33.09,-117.27,34502,0
45918,92008,Carlsbad,33.13,-117.3,22311,0
46036,91934,Jacumba,32.63,-116.18,495,0
45917,91906,Campo,32.68,-116.47,2441,0
45915,92320,Calimesa,33.97,-117.05,6035,0
45914,92232,Calexico,32.67,-115.5,3901,0
45912,92231,Calexico,32.69,-115.51,46865,0
45910,92282,Whitewater,33.94,-116.65,526,0
45909,92230,Cabazon,33.93,-116.77,1532,0
45907,92227,Brawley,33.02,-115.45,18589,0
45906,91905,Boulevard,32.67,-116.31,1106,0
45904,92004,Borrego Springs,33.17,-116.27,2493,0
45903,92003,Bonsall,33.28,-117.19,4661,0
45902,91908,Bonita,32.65,-117.02,823,0
45901,91902,Bonita,32.67,-117.01,14985,0
45897,92226,Blythe,33.6,-114.58,1695,0
45916,92233,Calipatria,33.13,-115.52,2671,0
46037,91935,Jamul,32.69,-116.8,7716,0
46026,91932,Imperial Beach,32.57,-117.11,19955,0
46139,92255,Palm Desert,33.74,-116.36,1305,0
46182,92375,Redlands,34.05,-117.19,1248,0
46178,92373,Redlands,34.0,-117.12,26330,0
46176,92091,Rancho Santa Fe,33.05,-117.19,890,0
46174,92067,Rancho Santa Fe,33.02,-117.19,10372,0
46173,92270,Rancho Mirage,33.78,-116.41,12970,0
46172,92065,Ramona,33.07,-116.83,28767,0
46171,92074,Poway,32.95,-117.03,881,0
46169,91963,Potrero,32.63,-116.59,1054,0
46167,92268,Pioneertown,34.21,-116.52,469,0
46166,92372,Pinon Hills,34.47,-117.62,3747,0
46165,91962,Pine Valley,32.78,-116.48,1651,0
46163,92371,Phelan,34.42,-117.48,6321,0
46183,92376,Rialto,34.1,-117.38,55471,0
46162,92329,Phelan,34.35,-117.6,6071,0
46158,92571,Perris,33.83,-117.2,33736,0
46157,92570,Perris,33.78,-117.33,33297,0
46155,92061,Pauma Valley,33.3,-116.92,2444,0
46154,92059,Pala,33.38,-117.07,1305,0
46147,92264,Palm Springs,33.72,-116.51,12753,0
46146,92263,Palm Springs,33.87,-116.56,2769,0
46142,92262,Palm Springs,33.85,-116.56,17175,0
46141,92261,Palm Desert,33.61,-116.42,1814,0
46140,92260,Palm Desert,33.7,-116.4,21470,0
46038,92252,Joshua Tree,34.15,-116.27,6160,0
46138,92211,Palm Desert,33.77,-116.34,18234,0
46136,92210,Indian Wells,33.7,-116.33,3236,0
46159,92572,Perris,33.78,-117.22,1642,0
46135,92368,Oro Grande,34.65,-117.29,552,0
46184,92377,Rialto,34.16,-117.39,16892,0
46186,92501,Riverside,33.99,-117.38,13444,0
46271,92427,San Bernardino,34.19,-117.34,913,0
46266,92423,San Bernardino,34.1,-117.28,1021,0
46254,92413,San Bernardino,34.14,-117.25,871,0
46252,92412,San Bernardino,34.08,-117.26,443,0
46250,92411,San Bernardino,34.12,-117.32,17344,0
46247,92410,San Bernardino,34.1,-117.27,29872,0
46245,92408,San Bernardino,34.07,-117.25,8883,0
46236,92407,San Bernardino,34.22,-117.37,37108,0
46234,92406,San Bernardino,34.13,-117.28,724,0
46232,92405,San Bernardino,34.14,-117.3,18868,0
46229,92404,San Bernardino,34.17,-117.24,37086,0
46223,92401,San Bernardino,34.1,-117.29,1426,0
46185,92378,Rimforest,34.21,-117.24,640,0
46219,92382,Running Springs,34.18,-117.08,4244,0
46208,92518,March Air Reserve Base,33.89,-117.27,1020,0
46207,92517,Riverside,33.96,-117.43,1672,0
46206,92516,Riverside,33.95,-117.39,742,0
46203,92513,Riverside,33.91,-117.46,1087,0
46200,92509,Riverside,33.99,-117.44,53031,0
46199,92508,Riverside,33.89,-117.32,26006,0
46196,92507,Riverside,33.96,-117.31,32114,0
46195,92506,Riverside,33.92,-117.36,35060,0
46193,92505,Riverside,33.93,-117.49,32679,0
46190,92504,Riverside,33.9,-117.4,37665,0
46188,92503,Riverside,33.89,-117.44,61219,0
46187,92502,Riverside,33.98,-117.37,714,0
46211,92519,Riverside,33.99,-117.41,559,0
46132,92058,Oceanside,33.18,-117.29,27368,0
48862,95993,Yuba City,39.05,-121.73,27844,0
46131,92057,Oceanside,33.27,-117.28,43857,0
46053,92531,Lake Elsinore,33.6,-117.39,959,0
46090,92561,Mountain Center,33.63,-116.59,936,0
46088,92256,Morongo Valley,34.1,-116.58,2399,0
46087,92557,Moreno Valley,33.97,-117.25,36328,0
46055,92532,Lake Elsinore,33.71,-117.34,12454,0
46057,92040,Lakeside,32.9,-116.89,32995,0
46086,92556,Moreno Valley,33.96,-117.24,739,0
46084,92555,Moreno Valley,33.9,-117.1,26702,0
46058,91941,La Mesa,32.75,-116.99,35288,0
46081,92552,Moreno Valley,33.92,-117.24,2209,0
46059,91942,La Mesa,32.78,-117.01,19254,0
46080,92551,Moreno Valley,33.87,-117.22,21024,0
46078,92359,Mentone,34.1,-117.04,6159,0
46060,91943,La Mesa,32.77,-117.01,374,0
46076,92254,Mecca,33.55,-115.97,11107,0
46075,92358,Lytle Creek,34.25,-117.54,603,0
46073,92356,Lucerne Valley,34.52,-116.88,3770,0
46069,92354,Loma Linda,34.05,-117.24,15275,0
46066,91946,Lemon Grove,32.74,-117.03,618,0
46065,91945,Lemon Grove,32.73,-117.03,19359,0
46064,92253,La Quinta,33.65,-116.27,26303,0
46094,92562,Murrieta,33.54,-117.33,45927,0
46062,92247,La Quinta,33.66,-116.31,1310,0
46051,92530,Lake Elsinore,33.68,-117.37,33145,0
46042,92039,La Jolla,32.84,-117.27,532,0
46130,92056,Oceanside,33.2,-117.29,42843,0
46126,92055,Camp Pendleton,33.29,-117.3,6130,0
46039,92036,Julian,32.99,-116.41,2805,0
46123,92054,Oceanside,33.35,-117.43,29573,0
46121,92051,Oceanside,33.19,-117.36,1564,0
46120,92049,Oceanside,33.19,-117.37,469,0
46040,92037,La Jolla,32.86,-117.24,30981,0
46041,92038,La Jolla,32.85,-117.25,1552,0
46118,92567,Nuevo,33.82,-117.1,6743,0
46096,92563,Murrieta,33.57,-117.14,41578,0
46061,91944,La Mesa,32.76,-117.02,910,0
46112,92257,Niland,33.3,-115.55,1055,0
46110,92365,Newberry Springs,34.85,-116.51,1494,0
46103,92363,Needles,34.78,-114.59,3538,0
46043,92092,La Jolla,32.87,-117.23,683,0
46101,91950,National City,32.67,-117.09,41162,0
46098,92564,Murrieta,33.64,-117.18,925,0
46049,92352,Lake Arrowhead,34.27,-117.19,3856,0
46114,92258,North Palm Springs,33.9,-116.56,594,0
45787,91411,Van Nuys,34.17,-118.46,15715,1
46499,92804,Anaheim,33.81,-117.97,61315,1
48503,95741,Rancho Cordova,38.58,-121.3,1400,1
46725,90805,Long Beach,33.86,-118.18,66158,1
44866,90066,Los Angeles,34.0,-118.43,43203,1
46181,92374,Redlands,34.06,-117.17,29406,1
46551,92877,Corona,33.87,-117.56,937,1
46379,92581,San Jacinto,33.78,-116.95,1392,1
46398,91977,Spring Valley,32.71,-116.99,44239,1
45974,92020,El Cajon,32.79,-116.96,39637,1
45933,91910,Chula Vista,32.63,-117.05,60383,1
46153,92369,Patton,34.13,-117.22,420,1
48647,95864,Sacramento,38.58,-121.37,19481,1
44685,90250,Hawthorne,33.91,-118.34,68109,1
45426,91101,Pasadena,34.14,-118.13,13258,1
44765,90025,Los Angeles,34.04,-118.44,34463,1
44776,90028,Los Angeles,34.1,-118.32,18687,1
47355,94903,San Rafael,38.02,-122.54,23974,1
46170,92064,Poway,32.97,-117.02,40359,1
48629,95831,Sacramento,38.49,-121.53,34473,1
46644,92651,Laguna Beach,33.55,-117.78,19615,1
45376,91324,Northridge,34.24,-118.55,20401,1
44681,90245,El Segundo,33.91,-118.4,15421,1
44935,90266,Manhattan Beach,33.88,-118.4,30505,1
45005,91066,Arcadia,34.14,-118.02,681,2
