,Zipcode,City,Lat,Lng,Population,counts
47527,94526,Danville,37.81,-121.97,28860,0
47525,94506,Danville,37.78,-121.88,20743,0
47524,95015,Cupertino,37.32,-122.05,1709,0
47521,95014,Cupertino,37.3,-122.09,51349,0
47520,94525,Crockett,38.04,-122.23,2510,0
47515,94524,Concord,37.97,-122.05,720,0
47513,94523,Pleasant Hill,37.95,-122.07,27947,0
47512,94522,Concord,38.01,-122.02,498,0
47511,94521,Concord,37.97,-121.96,34763,0
47509,94520,Concord,38.0,-122.03,26131,0
47508,94519,Concord,37.99,-122.0,14804,0
47507,94518,Concord,37.95,-122.02,21464,0
47544,95020,Gilroy,37.06,-121.55,41952,0
47545,95021,Gilroy,37.01,-121.55,2725,0
47546,93926,Gonzales,36.54,-121.39,8139,0
47547,93927,Greenfield,36.26,-121.37,12788,0
47591,94556,Moraga,37.83,-122.1,13735,0
47588,93944,Monterey,36.57,-121.83,1445,0
47586,93942,Monterey,36.61,-121.89,1366,0
47582,93940,Monterey,36.6,-121.88,22581,0
47581,95036,Milpitas,37.24,-121.97,1343,0
47580,95035,Milpitas,37.44,-121.87,54420,0
47577,94553,Martinez,37.98,-122.15,38654,0
47576,93933,Marina,36.67,-121.79,16444,0
47575,95033,Los Gatos,37.13,-121.94,7196,0
47574,95032,Los Gatos,37.23,-121.95,21990,0
47573,95031,Los Gatos,37.12,-121.93,1445,0
47571,95030,Los Gatos,37.22,-121.99,11508,0
47595,95038,Morgan Hill,37.08,-121.61,1884,0
47569,94551,Livermore,37.77,-121.75,32376,0
47567,94549,Lafayette,37.9,-122.11,24865,0
47566,94548,Knightsen,37.97,-121.65,754,0
47565,93930,King City,36.2,-120.94,12376,0
47561,95024,Hollister,36.84,-121.39,2447,0
47560,95023,Hollister,36.89,-121.24,35971,0
47556,94552,Castro Valley,37.69,-122.01,13039,0
47554,94546,Castro Valley,37.7,-122.08,35351,0
47553,94545,Hayward,37.62,-122.11,24681,0
47552,94544,Hayward,37.63,-122.04,55190,0
47550,94542,Hayward,37.65,-122.04,9246,0
47549,94541,Hayward,37.67,-122.08,44424,0
47548,94540,Hayward,37.65,-122.09,819,0
47568,94550,Livermore,37.68,-121.75,40153,0
47722,95111,San Jose,37.28,-121.83,43578,0
47259,95562,Rio Dell,40.46,-124.13,2147,0
47256,94065,Redwood City,37.53,-122.24,10134,0
46953,91785,Upland,34.09,-117.64,1145,0
46952,91784,Upland,34.14,-117.65,22685,0
46951,92782,Tustin,33.75,-117.77,19295,0
46950,92781,Tustin,33.73,-117.81,1441,0
46949,92780,Tustin,33.74,-117.82,42492,0
46944,92688,Rancho Santa Margarita,33.61,-117.61,36571,0
46936,92679,Trabuco Canyon,33.61,-117.54,28044,0
46934,92678,Trabuco Canyon,33.66,-117.59,561,0
46930,92610,Foothill Ranch,33.7,-117.67,9499,0
46929,90510,Torrance,33.82,-118.32,784,0
46924,90505,Torrance,33.8,-118.35,31058,0
46923,90504,Torrance,33.86,-118.33,27310,0
46922,90503,Torrance,33.84,-118.35,36775,0
46921,90502,Torrance,33.83,-118.29,14193,0
46920,90501,Torrance,33.83,-118.31,33170,0
46919,91780,Temple City,34.1,-118.05,29368,0
46918,90743,Surfside,33.72,-118.08,414,0
46917,90742,Sunset Beach,33.71,-118.07,1081,0
46916,90680,Stanton,33.79,-117.99,23093,0
46913,92676,Silverado,33.75,-117.63,1608,0
46912,90740,Seal Beach,33.75,-118.07,20646,0
46908,90670,Santa Fe Springs,33.92,-118.06,12163,0
46903,92728,Fountain Valley,33.71,-117.92,951,0
46899,92711,Santa Ana,33.76,-117.8,998,0
46896,92708,Fountain Valley,33.71,-117.94,46913,0
46954,91786,Upland,34.1,-117.66,36960,0
46894,92707,Santa Ana,33.71,-117.87,48517,0
46955,91788,Walnut,34.01,-117.86,781,0
46962,91790,West Covina,34.06,-117.94,33820,0
47000,95524,Bayside,40.81,-124.01,1740,0
46996,95521,Arcata,40.85,-124.05,10982,0
46995,95519,Mckinleyville,40.94,-124.02,12766,0
46994,95518,Arcata,40.86,-124.08,1402,0
46991,95410,Albion,39.21,-123.69,676,0
46990,92887,Yorba Linda,33.88,-117.72,18153,0
46989,92886,Yorba Linda,33.89,-117.78,39360,0
46988,92885,Yorba Linda,33.89,-117.82,484,0
46987,90748,Wilmington,33.78,-118.26,1135,0
46986,90744,Wilmington,33.77,-118.26,37822,0
46982,90608,Whittier,33.97,-118.02,579,0
46981,90607,Whittier,33.96,-118.02,583,0
46979,90606,Whittier,33.98,-118.06,24569,0
46977,90605,Whittier,33.94,-118.03,30900,0
46976,90604,Whittier,33.93,-118.0,29676,0
46975,90603,Whittier,33.94,-117.99,16292,0
46974,90602,Whittier,33.97,-118.01,17609,0
46970,90601,Whittier,34.0,-118.03,24177,0
46969,92685,Westminster,33.75,-117.99,1209,0
46968,92684,Westminster,33.76,-118.0,880,0
46967,92683,Westminster,33.74,-117.99,70715,0
46966,92655,Midway City,33.74,-117.98,6304,0
46965,91793,West Covina,34.06,-117.92,1021,0
46964,91792,West Covina,34.02,-117.89,23683,0
46963,91791,West Covina,34.06,-117.89,25715,0
46956,91789,Walnut,34.01,-117.85,37363,0
46892,92706,Santa Ana,33.76,-117.88,27773,0
46889,92705,Santa Ana,33.76,-117.79,36122,0
46887,92704,Santa Ana,33.71,-117.9,67361,0
46822,92870,Placentia,33.88,-117.85,41874,0
46819,90660,Pico Rivera,33.98,-118.08,48568,0
46818,90723,Paramount,33.89,-118.16,38558,0
46817,92869,Orange,33.79,-117.78,31173,0
46816,92868,Orange,33.78,-117.86,16174,0
46814,92867,Orange,33.81,-117.79,34563,0
46812,92865,Orange,33.83,-117.85,15604,0
46810,92863,Orange,33.81,-117.82,1323,0
46807,92861,Villa Park,33.81,-117.81,5228,0
46804,92856,Orange,33.78,-117.84,546,0
46803,91764,Ontario,34.07,-117.62,38261,0
46801,91762,Ontario,34.04,-117.67,42661,0
46800,91761,Ontario,34.02,-117.58,44442,0
46796,90650,Norwalk,33.9,-118.07,78458,0
46795,92860,Norco,33.93,-117.56,18965,0
46794,92663,Newport Beach,33.62,-117.93,15815,0
46791,92662,Newport Beach,33.6,-117.89,2438,0
46790,92661,Newport Beach,33.6,-117.9,2915,0
46789,92660,Newport Beach,33.62,-117.87,28529,0
46788,92659,Newport Beach,33.62,-117.92,1126,0
46787,92658,Newport Beach,33.63,-117.86,2015,0
46785,92657,Newport Coast,33.6,-117.82,8448,0
46778,91755,Monterey Park,34.05,-118.11,21491,0
46777,91754,Monterey Park,34.05,-118.14,28166,0
46776,90640,Montebello,34.0,-118.1,46577,0
46824,91765,Diamond Bar,33.99,-117.81,41453,0
46826,91766,Pomona,34.03,-117.75,49778,0
46829,91767,Pomona,34.08,-117.73,33720,0
46830,91768,Pomona,34.06,-117.79,22349,0
46885,92703,Santa Ana,33.74,-117.89,48715,0
46884,92702,Santa Ana,33.73,-117.87,796,0
46883,92701,Santa Ana,33.75,-117.85,35900,0
46881,90733,San Pedro,33.7,-118.29,751,0
46880,90732,San Pedro,33.73,-118.31,17285,0
46876,90731,San Pedro,33.73,-118.29,40560,0
46873,92694,Ladera Ranch,33.56,-117.63,17998,0
46871,92693,San Juan Capistrano,33.49,-117.66,621,0
46868,92692,Mission Viejo,33.6,-117.64,40945,0
46865,92691,Mission Viejo,33.6,-117.66,40492,0
46862,92690,Mission Viejo,33.61,-117.64,1129,0
46859,92675,San Juan Capistrano,33.52,-117.61,27693,0
47001,94002,Belmont,37.5,-122.3,23092,0
46858,91778,San Gabriel,34.1,-118.1,952,0
46856,91775,San Gabriel,34.11,-118.08,19902,0
46855,91773,San Dimas,34.1,-117.81,28256,0
46854,92674,San Clemente,33.43,-117.62,1130,0
46853,92673,San Clemente,33.48,-117.61,24536,0
46852,92672,San Clemente,33.42,-117.62,29908,0
46847,91770,Rosemead,34.06,-118.08,49163,0
46844,91739,Rancho Cucamonga,34.14,-117.51,25587,0
46841,91737,Rancho Cucamonga,34.19,-117.61,20165,0
46838,91730,Rancho Cucamonga,34.09,-117.58,48152,0
46835,91729,Rancho Cucamonga,34.09,-117.56,2420,0
46832,91701,Rancho Cucamonga,34.14,-117.61,33269,0
46831,91769,Pomona,34.06,-117.75,1641,0
46857,91776,San Gabriel,34.08,-118.09,30178,0
47002,94920,Belvedere Tiburon,37.89,-122.47,10900,0
47007,95525,Blue Lake,40.96,-123.85,1405,0
47009,94923,Bodega Bay,38.35,-123.06,1169,0
47190,94042,Mountain View,37.4,-122.08,764,0
47189,94041,Mountain View,37.38,-122.07,10999,0
47186,94040,Mountain View,37.38,-122.08,26205,0
47185,94039,Mountain View,37.39,-122.07,688,0
47181,94038,Moss Beach,37.51,-122.5,2425,0
47178,95462,Monte Rio,38.45,-123.01,836,0
47177,94037,Montara,37.54,-122.5,2482,0
47176,95553,Miranda,40.21,-123.86,585,0
47175,94942,Mill Valley,37.9,-122.52,977,0
47171,94941,Mill Valley,37.89,-122.56,25742,0
47170,94030,Millbrae,37.59,-122.4,18869,0
47168,95467,Hidden Valley Lake,38.8,-122.55,3858,0
47165,95461,Middletown,38.78,-122.58,2984,0
47161,94028,Portola Valley,37.37,-122.21,6281,0
47159,94027,Atherton,37.44,-122.2,6145,0
47157,94026,Menlo Park,37.47,-122.18,1186,0
47154,94025,Menlo Park,37.45,-122.17,32613,0
47153,95460,Mendocino,39.3,-123.73,2343,0
47148,95458,Lucerne,39.12,-122.76,1687,0
47147,95457,Lower Lake,38.88,-122.55,2786,0
47145,94024,Los Altos,37.34,-122.11,20665,0
47144,94023,Los Altos,37.37,-122.11,687,0
47142,94022,Los Altos,37.36,-122.14,17620,0
47140,95551,Loleta,40.68,-124.22,1088,0
47138,95456,Little River,39.25,-123.73,540,0
47191,94043,Mountain View,37.41,-122.05,22824,0
47193,94946,Nicasio,38.07,-122.68,551,0
47194,95464,Nice,39.12,-122.84,1536,0
47195,94945,Novato,38.13,-122.56,14293,0
47255,94064,Redwood City,37.46,-122.25,1200,0
47254,94063,Redwood City,37.49,-122.21,21866,0
47250,94062,Redwood City,37.4,-122.29,22552,0
47248,94061,Redwood City,37.46,-122.24,27970,0
47247,95560,Redway,40.15,-123.89,1680,0
47245,95469,Potter Valley,39.37,-123.02,1399,0
47243,94956,Point Reyes Station,38.07,-122.86,1406,0
47241,95468,Point Arena,38.91,-123.58,978,0
47239,95466,Philo,39.07,-123.52,1058,0
47234,94975,Petaluma,38.32,-122.64,747,0
47233,94955,Petaluma,38.22,-122.55,564,0
47232,94954,Petaluma,38.23,-122.56,31071,0
47135,95454,Laytonville,39.8,-123.5,1687,0
47231,94953,Petaluma,38.26,-122.63,788,0
47225,94060,Pescadero,37.2,-122.3,1410,0
47224,94951,Penngrove,38.31,-122.64,3579,0
47222,94309,Palo Alto,37.41,-122.16,946,0
47221,94306,Palo Alto,37.41,-122.13,22810,0
47219,94305,Stanford,37.41,-122.17,5084,0
47218,94304,Palo Alto,37.37,-122.18,2781,0
47215,94303,Palo Alto,37.45,-122.1,34099,0
47213,94301,Palo Alto,37.44,-122.15,14401,0
47211,94044,Pacifica,37.6,-122.45,32334,0
47205,95465,Occidental,38.41,-123.01,1774,0
47200,94949,Novato,38.06,-122.54,14246,0
47198,94947,Novato,38.1,-122.63,19940,0
47226,94952,Petaluma,38.21,-122.76,25794,0
47257,95470,Redwood Valley,39.32,-123.23,4791,0
47131,94939,Larkspur,37.93,-122.53,5652,0
47129,94020,La Honda,37.28,-122.24,1307,0
47070,95501,Eureka,40.8,-124.15,14321,0
47069,95433,El Verano,38.29,-122.48,873,0
47067,94018,El Granada,37.5,-122.47,3353,0
47063,94017,Daly City,37.69,-122.47,895,0
47060,94015,Daly City,37.67,-122.47,49650,0
47058,94014,Daly City,37.68,-122.43,36989,0
47052,95531,Crescent City,41.78,-124.16,14062,0
47051,95428,Covelo,39.82,-123.16,1328,0
47050,94931,Cotati,38.31,-122.7,7260,0
47048,94928,Rohnert Park,38.34,-122.7,30371,0
47046,94927,Rohnert Park,38.34,-122.69,678,0
47042,94976,Corte Madera,37.92,-122.52,365,0
47041,94925,Corte Madera,37.92,-122.51,8134,0
47038,95426,Cobb,38.83,-122.71,1723,0
47035,95425,Cloverdale,38.78,-122.92,8841,0
47030,95423,Clearlake Oaks,39.05,-122.55,2370,0
47029,95422,Clearlake,38.96,-122.64,7530,0
47028,95421,Cazadero,38.56,-123.2,1034,0
47027,95528,Carlotta,40.48,-123.95,754,0
47024,94011,Burlingame,37.57,-122.34,973,0
47022,94010,Burlingame,37.56,-122.37,35172,0
47021,94005,Brisbane,37.68,-122.41,4345,0
47013,95416,Boyes Hot Springs,38.31,-122.48,2731,0
47012,95415,Boonville,38.99,-123.36,1236,0
47011,94924,Bolinas,37.94,-122.73,1151,0
47072,95502,Eureka,40.81,-124.08,2818,0
47073,95503,Eureka,40.71,-124.11,16695,0
47076,94930,Fairfax,37.98,-122.6,6948,0
47077,94978,Fairfax,37.98,-122.58,526,0
47128,94938,Lagunitas,38.03,-122.7,479,0
47126,95549,Kneeland,40.67,-123.88,635,0
47125,95548,Klamath,41.59,-124.06,716,0
47124,95452,Kenwood,38.42,-122.54,1581,0
47123,95451,Kelseyville,38.91,-122.79,8100,0
47120,94937,Inverness,38.11,-122.92,867,0
47119,95547,Hydesville,40.56,-124.07,1029,0
47118,95449,Hopland,38.93,-123.11,1330,0
47114,95546,Hoopa,41.11,-123.64,1777,0
47112,95448,Healdsburg,38.63,-122.89,14838,0
47110,94019,Half Moon Bay,37.44,-122.41,12963,0
47107,95446,Guerneville,38.52,-123.01,3558,0
47130,95453,Lakeport,39.04,-122.93,7976,0
47106,95497,The Sea Ranch,38.7,-123.44,411,0
47102,95444,Graton,38.43,-122.86,1154,0
47100,95442,Glen Ellen,38.38,-122.52,2862,0
47099,95441,Geyserville,38.74,-123.13,2362,0
47098,95543,Gasquet,41.84,-123.85,494,0
47097,95542,Garberville,40.22,-123.97,1468,0
47096,95439,Fulton,38.49,-122.77,838,0
47095,95540,Fortuna,40.57,-124.15,9910,0
47085,95437,Fort Bragg,39.47,-123.63,11000,0
47083,95436,Forestville,38.48,-122.9,4585,0
47082,94933,Forest Knolls,38.01,-122.69,771,0
47081,95435,Finley,39.0,-122.87,563,0
47078,95536,Ferndale,40.45,-124.26,2338,0
47103,95445,Gualala,38.82,-123.51,2247,0
48861,95992,Yuba City,39.02,-121.61,1752,0
47723,95112,San Jose,37.34,-121.88,34111,0
47727,95117,San Jose,37.31,-121.96,22030,0
48441,95363,Patterson,37.49,-121.25,18121,0
48439,93648,Parlier,36.62,-119.51,10702,0
48438,95969,Paradise,39.74,-121.61,19114,0
48437,95967,Paradise,39.74,-121.6,2089,0
48436,96073,Palo Cedro,40.56,-122.2,4146,0
48435,95968,Palermo,39.43,-121.55,1619,0
48428,95966,Oroville,39.45,-121.39,19686,0
48411,95965,Oroville,39.5,-121.67,12407,0
48403,93647,Orosi,36.58,-119.19,7372,0
48401,95963,Orland,39.73,-122.33,11337,0
48399,95962,Oregon House,39.34,-121.23,1301,0
48396,95662,Orangevale,38.68,-121.22,26135,0
48394,93675,Squaw Valley,36.74,-119.19,2686,0
48392,93646,Orange Cove,36.64,-119.29,6510,0
48387,95961,Olivehurst,39.08,-121.55,16912,0
48385,96069,Oak Run,40.66,-122.03,667,0
48384,93644,Oakhurst,37.4,-119.61,7289,0
48381,95361,Oakdale,37.8,-120.74,24557,0
48376,95960,North San Juan,39.42,-120.99,955,0
48374,95660,North Highlands,38.66,-121.37,21675,0
48372,93643,North Fork,37.23,-119.49,2422,0
48367,95659,Nicolaus,38.83,-121.58,614,0
48366,95360,Newman,37.28,-121.2,8424,0
48365,95658,Newcastle,38.87,-121.15,5562,0
48360,95959,Nevada City,39.34,-120.87,14769,0
48444,95663,Penryn,38.85,-121.18,2304,0
48359,95247,Murphys,38.14,-120.45,3550,0
48446,95664,Pilot Hill,38.8,-121.04,1113,0
48462,95666,Pioneer,38.56,-120.17,4179,0
48527,93656,Riverdale,36.48,-119.94,4450,0
48524,95367,Riverbank,37.73,-120.95,17864,0
48523,95366,Ripon,37.75,-121.12,13598,0
48522,95674,Rio Oso,38.95,-121.49,734,0
48521,95673,Rio Linda,38.68,-121.45,11504,0
48519,95672,Rescue,38.72,-121.0,4022,0
48517,93654,Reedley,36.65,-119.4,22515,0
48516,96099,Redding,40.64,-122.5,2141,0
48515,96049,Redding,40.56,-122.29,2172,0
48514,96003,Redding,40.68,-122.25,30950,0
48513,96002,Redding,40.52,-122.32,23604,0
48511,96001,Redding,40.6,-122.46,23744,0
48509,96080,Red Bluff,40.13,-122.43,21073,0
48507,93653,Raymond,37.25,-119.96,802,0
48505,95742,Rancho Cordova,38.57,-121.17,6511,0
48499,95670,Rancho Cordova,38.6,-121.26,40655,0
48498,95655,Mather,38.54,-121.28,3200,0
48497,93652,Raisin City,36.59,-119.9,664,0
48487,95971,Quincy,39.96,-121.0,4865,0
48483,93651,Prather,37.0,-119.5,1657,0
48480,95726,Pollock Pines,38.74,-120.57,6965,0
48479,95669,Plymouth,38.46,-120.88,2065,0
48477,95668,Pleasant Grove,38.83,-121.5,687,0
48474,95365,Planada,37.32,-120.3,3801,0
48464,95667,Placerville,38.73,-120.8,28139,0
48451,95665,Pine Grove,38.38,-120.64,3764,0
48353,95656,Mount Aukum,38.56,-120.71,644,0
48352,96067,Mount Shasta,41.31,-122.32,6226,0
48348,95246,Mountain Ranch,38.23,-120.49,1401,0
48281,93638,Madera,37.01,-119.94,31212,0
48279,93637,Madera,36.91,-120.19,26109,0
48278,93636,Madera,36.93,-119.83,8882,0
48277,96058,Macdoel,41.74,-121.89,489,0
48276,96057,Mccloud,41.26,-122.1,1037,0
48273,96056,Mcarthur,41.1,-121.34,1210,0
48272,95651,Lotus,38.81,-120.93,625,0
48271,96055,Los Molinos,40.05,-122.07,2732,0
48270,93635,Los Banos,36.9,-121.02,27870,0
48269,95650,Loomis,38.81,-121.16,10909,0
48265,95242,Lodi,38.13,-121.39,20643,0
48264,95241,Lodi,38.15,-121.3,2197,0
48263,95240,Lodi,38.11,-121.16,30585,0
48262,95237,Lockeford,38.17,-121.13,3187,0
48261,95334,Livingston,37.34,-120.75,11811,0
48259,95953,Live Oak,39.23,-121.78,7556,0
48258,95236,Linden,38.05,-121.03,4764,0
48257,95648,Lincoln,38.93,-121.25,38746,0
48256,96052,Lewiston,40.78,-122.84,947,0
48255,95333,Le Grand,37.25,-120.2,2167,0
48254,95330,Lathrop,37.82,-121.29,13248,0
48251,96051,Lakehead,40.88,-122.38,902,0
48250,95329,La Grange,37.66,-120.45,1940,0
48246,95645,Knights Landing,38.89,-121.8,1285,0
48243,93631,Kingsburg,36.48,-119.5,12763,0
48282,93639,Madera,36.96,-120.08,1010,0
48283,95653,Madison,38.67,-121.96,493,0
48284,95954,Magalia,39.84,-121.6,8445,0
48287,95336,Manteca,37.83,-121.18,33056,0
48345,96064,Montague,41.76,-122.39,3209,0
48343,95245,Mokelumne Hill,38.29,-120.58,1357,0
48340,95358,Modesto,37.65,-121.13,22496,0
48339,95357,Modesto,37.67,-120.89,10140,0
48338,95356,Modesto,37.72,-121.03,24224,0
48337,95355,Modesto,37.67,-120.95,42666,0
48336,95354,Modesto,37.63,-120.97,16332,0
48335,95353,Modesto,37.66,-120.94,728,0
48334,95352,Modesto,37.66,-120.99,789,0
48333,95351,Modesto,37.63,-121.01,28298,0
48332,95350,Modesto,37.67,-121.01,36016,0
48329,95346,Mi Wuk Village,38.1,-120.13,1069,0
48529,95677,Rocklin,38.8,-121.24,20132,0
48311,96062,Millville,40.56,-122.07,977,0
48308,95957,Meridian,39.07,-121.84,650,0
48307,95348,Merced,37.41,-120.5,18422,0
48306,95344,Merced,37.37,-120.61,1080,0
48304,95341,Merced,37.33,-120.48,17451,0
48303,95340,Merced,37.29,-120.48,24607,0
48302,93640,Mendota,36.67,-120.43,8825,0
48301,95722,Meadow Vista,39.0,-121.03,4202,0
48298,95955,Maxwell,39.31,-122.17,1193,0
48296,95903,Beale Afb,39.12,-121.39,1623,0
48291,95901,Marysville,39.15,-121.47,22529,0
48290,95338,Mariposa,37.49,-120.0,8172,0
48288,95337,Manteca,37.73,-121.24,22663,0
48310,95345,Midpines,37.58,-119.97,579,0
48531,95765,Rocklin,38.81,-121.28,25874,0
48532,95661,Roseville,38.74,-121.25,24647,0
48533,95678,Roseville,38.76,-121.28,32889,0
48792,95687,Vacaville,38.35,-121.93,45910,0
48788,95383,Twain Harte,38.08,-120.24,3648,0
48785,95382,Turlock,37.53,-120.84,26190,0
48784,95381,Turlock,37.49,-120.85,2128,0
48783,95380,Turlock,37.47,-120.85,28101,0
48782,95379,Tuolumne,37.95,-120.2,2996,0
48780,96091,Trinity Center,41.05,-122.78,501,0
48779,93673,Traver,36.45,-119.48,910,0
48778,93668,Tranquillity,36.65,-120.28,861,0
48775,95391,Tracy,37.76,-121.63,7031,0
48772,95378,Tracy,37.8,-121.55,1002,0
48771,95377,Tracy,37.62,-121.45,23164,0
48770,95376,Tracy,37.73,-121.42,38068,0
48768,95304,Tracy,37.69,-121.39,8986,0
48767,93667,Tollhouse,36.96,-119.3,1864,0
48766,95686,Thornton,38.17,-121.52,922,0
48759,95685,Sutter Creek,38.42,-120.75,3944,0
48758,95982,Sutter,39.18,-121.81,2736,0
48757,93666,Sultana,36.54,-119.33,842,0
48746,95269,Stockton,38.01,-121.32,1714,0
48744,95267,Stockton,38.0,-121.31,723,0
48742,95219,Stockton,38.01,-121.38,21236,0
48740,95215,Stockton,37.95,-121.12,15614,0
48735,95212,Stockton,38.04,-121.2,18519,0
48730,95210,Stockton,38.02,-121.3,25741,0
48793,95688,Vacaville,38.41,-122.01,28085,0
48795,95696,Vacaville,38.31,-121.92,2007,0
48796,95251,Vallecito,38.1,-120.43,479,0
48800,95252,Valley Springs,38.16,-120.84,10080,0
48859,95991,Yuba City,39.05,-121.61,27881,0
48858,96097,Yreka,41.75,-122.67,7554,0
48852,95389,Yosemite National Park,37.69,-119.59,1136,0
48851,95697,Yolo,38.73,-121.81,690,0
48849,95776,Woodland,38.69,-121.68,18163,0
48848,95695,Woodland,38.71,-121.85,28392,0
48847,95258,Woodbridge,38.16,-121.29,4461,0
48846,95388,Winton,37.41,-120.59,9257,0
48845,95694,Winters,38.56,-121.99,7665,0
48844,95693,Wilton,38.39,-121.24,5891,0
48841,95988,Willows,39.5,-122.28,6588,0
48838,95987,Williams,39.11,-122.27,5477,0
48728,95209,Stockton,38.04,-121.35,29459,0
48837,96096,Whitmore,40.63,-121.87,568,0
48829,95691,West Sacramento,38.66,-121.62,26437,0
48824,95605,West Sacramento,38.59,-121.54,9280,0
48823,95255,West Point,38.42,-120.44,1287,0
48822,95387,Westley,37.54,-121.29,1113,0
48821,95736,Weimar,39.03,-120.96,1228,0
48818,96094,Weed,41.51,-122.36,4766,0
48817,96093,Weaverville,40.74,-122.93,3395,0
48816,95386,Waterford,37.68,-120.64,7503,0
48806,95690,Walnut Grove,38.23,-121.58,2004,0
48805,95254,Wallace,38.19,-120.95,646,0
48804,95689,Volcano,38.48,-120.57,1166,0
48802,95253,Victor,38.14,-121.2,741,0
48836,95692,Wheatland,39.04,-121.39,3917,0
48242,95328,Keyes,37.55,-120.91,2288,0
48726,95208,Stockton,37.95,-121.43,781,0
48722,95206,Stockton,37.9,-121.4,44874,0
48632,95834,Sacramento,38.64,-121.54,18721,0
48631,95833,Sacramento,38.61,-121.49,27060,0
48630,95832,Sacramento,38.43,-121.51,7151,0
48628,95830,Sacramento,38.49,-121.27,679,0
48627,95829,Sacramento,38.48,-121.34,19919,0
48626,95828,Sacramento,38.48,-121.4,40823,0
48625,95827,Sacramento,38.55,-121.32,16012,0
48623,95826,Sacramento,38.54,-121.38,26728,0
48622,95825,Sacramento,38.58,-121.4,20027,0
48621,95824,Sacramento,38.51,-121.44,19631,0
48620,95823,Sacramento,38.47,-121.44,50088,0
48619,95822,Sacramento,38.51,-121.49,31791,0
48617,95821,Sacramento,38.62,-121.38,24579,0
48615,95820,Sacramento,38.53,-121.44,23334,0
48614,95819,Sacramento,38.56,-121.43,13837,0
48613,95818,Sacramento,38.55,-121.49,16236,0
48612,95817,Sacramento,38.55,-121.45,8527,0
48611,95816,Sacramento,38.57,-121.46,12950,0
48609,95815,Sacramento,38.6,-121.46,14432,0
48606,95812,Sacramento,38.58,-121.49,1004,0
48605,95811,Sacramento,38.59,-121.49,3752,0
48539,95975,Rough And Ready,39.22,-121.15,1434,0
48537,95946,Penn Valley,39.18,-121.2,8356,0
48536,95747,Roseville,38.78,-121.37,41545,0
48534,95746,Granite Bay,38.76,-121.16,19407,0
48633,95835,Sacramento,38.69,-121.56,27167,0
48636,95838,Sacramento,38.64,-121.44,23781,0
48639,95841,Sacramento,38.66,-121.35,13816,0
48640,95842,Sacramento,38.68,-121.34,22672,0
48720,95205,Stockton,37.96,-121.26,24135,0
48718,95204,Stockton,37.97,-121.32,19838,0
48716,95203,Stockton,37.95,-121.32,9689,0
48714,95202,Stockton,37.95,-121.28,3036,0
48712,95201,Stockton,37.9,-121.22,951,0
48710,95374,Stevinson,37.3,-120.87,1329,0
48708,93665,South Dos Palos,36.95,-120.65,535,0
48707,95372,Soulsbyville,37.99,-120.25,2327,0
48704,95370,Sonora,37.98,-120.39,19792,0
48700,95684,Somerset,38.62,-120.62,2344,0
48692,95369,Snelling,37.54,-120.45,674,0
48688,95977,Smartsville,39.17,-121.29,1146,0
48724,95207,Stockton,38.0,-121.32,31668,0
48685,95683,Sloughhouse,38.51,-121.12,5736,0
48679,95682,Shingle Springs,38.61,-120.97,24623,0
48678,95681,Sheridan,38.98,-121.35,957,0
48677,93664,Shaver Lake,37.06,-119.04,681,0
48670,96087,Shasta,40.62,-122.5,877,0
48668,93662,Selma,36.53,-119.64,22360,0
48663,93660,San Joaquin,36.59,-120.19,3457,0
48659,93657,Sanger,36.79,-119.44,25192,0
48658,95249,San Andreas,38.2,-120.62,2912,0
48657,95368,Salida,37.71,-121.09,10850,0
48648,95865,Sacramento,38.59,-121.4,586,0
48646,95860,Sacramento,38.61,-121.38,620,0
48641,95843,Antelope,38.71,-121.36,34636,0
48683,96088,Shingletown,40.5,-121.8,3513,0
47726,95116,San Jose,37.35,-121.85,35357,0
48241,93630,Kerman,36.71,-120.15,13427,0
48238,95327,Jamestown,37.85,-120.49,4629,0
47868,95223,Arnold,38.35,-120.2,3417,0
47866,95912,Arbuckle,39.02,-122.04,4260,0
47864,95703,Applegate,39.0,-120.99,1447,0
47863,95222,Angels Camp,38.04,-120.61,2943,0
47861,95221,Altaville,38.07,-120.55,1332,0
47859,96007,Anderson,40.44,-122.35,16199,0
47854,95701,Alta,39.21,-120.79,787,0
47850,93601,Ahwahnee,37.39,-119.73,1527,0
47848,95220,Acampo,38.19,-121.25,5450,0
47847,94599,Yountville,38.41,-122.36,2713,0
47846,95077,Watsonville,36.91,-121.75,3861,0
47839,95076,Watsonville,36.95,-121.72,63437,0
47838,94598,Walnut Creek,37.91,-122.01,23862,0
47837,94597,Walnut Creek,37.91,-122.07,16977,0
47835,94596,Walnut Creek,37.89,-122.03,18125,0
47834,94595,Walnut Creek,37.86,-122.07,14774,0
47832,94592,Vallejo,38.11,-122.29,553,0
47831,94591,Vallejo,38.11,-122.2,42764,0
47830,94590,Vallejo,38.09,-122.25,25368,0
47827,94589,Vallejo,38.13,-122.25,22142,0
47824,94503,American Canyon,38.18,-122.25,15188,0
47823,94587,Union City,37.59,-122.06,57184,0
47822,95075,Tres Pinos,36.77,-121.29,603,0
47821,94586,Sunol,37.56,-121.84,937,0
47819,94585,Suisun City,38.16,-121.93,22796,0
47873,95301,Atwater,37.32,-120.63,25056,0
47818,95073,Soquel,37.02,-121.94,9169,0
