,City,City Latitude,City Longitude,Hospital
442,Ssf,37.65,-122.42,San Francisco SPCA Veterinary Hospital
443,Ssf,37.65,-122.42,VCA San Francisco Veterinary Specialists
444,Ssf,37.65,-122.42,Ocean Ave Veterinary
445,Ssf,37.65,-122.42,St. Francis Veterinary Hospital
446,Ssf,37.65,-122.42,Nor Cal Veterinary Emergency and Specialty Hospital
447,Ssf,37.65,-122.42,Peninsula Avenue Veterinary Clinic
448,Ssf,37.65,-122.42,Especially Cats Veterinary Hospital
449,Ssf,37.65,-122.42,North Peninsula Veterinary Emergency Clinic
450,Ssf,37.65,-122.42,Linda Mar Veterinary Hospital
451,Ssf,37.65,-122.42,Masson Veterinary Hospital
452,Ssf,37.65,-122.42,Veterinary Vision
453,Ssf,37.65,-122.42,AllCare Veterinary Hospital
455,Ssf,37.65,-122.42,Fatima-Restani Veterinary Hospital
456,Ssf,37.65,-122.42,Seven Hills Veterinary
457,Ssf,37.65,-122.42,St. Francis Square Veterinary Hospital
458,Ssf,37.65,-122.42,Healthy Pet Veterinary Hospital
459,Ssf,37.65,-122.42,cappuccino veterinary clinic
460,Ssf,37.65,-122.42,Presidio Way Veterinary Hospital
461,Ssf,37.65,-122.42,VSA - Veterinary Surgical Associates
462,Ssf,37.65,-122.42,SAGE Centers for Veterinary Specialty and Emergency Care
463,Ssf,37.65,-122.42,San Francisco Veterinary Specialists - Cardiology Dept.
464,Ssf,37.65,-122.42,Aragon Veterinary Clinic
465,Ssf,37.65,-122.42,Sunset Veterinary Hospital
466,Ssf,37.65,-122.42,Marina Village Veterinary
467,Ssf,37.65,-122.42,Ocean Beach Veterinary Clinic
468,Ssf,37.65,-122.42,Laurelwood Veterinary Clinic
469,Ssf,37.65,-122.42,Providence Veterinary Group
470,Ssf,37.65,-122.42,San Francisco Vet
478,San Francisco,37.74,-122.41,Campus Veterinary
488,San Francisco,37.74,-122.41,Providence Veterinary Hospital
493,San Francisco,37.74,-122.41,East Bay Veterinary Clinic
494,San Francisco,37.74,-122.41,University Veterinary Hospital
498,San Francisco,37.74,-122.41,The Grand Lake Veterinary Hospital
499,San Francisco,37.74,-122.41,Emeryville Veterinary Hospital
500,San Francisco,37.74,-122.41,Harbor Veterinary
501,San Francisco,37.74,-122.41,Providence East Veterinary Hospital
502,San Francisco,37.74,-122.41,The Lake Veterinary Hospital
503,San Francisco,37.74,-122.41,Oakland Veterinary Hospital
541,Riverside,33.99,-117.44,Pedley Veterinary Hospital
542,Riverside,33.99,-117.44,West Riverside Veterinary Hospital
543,Riverside,33.99,-117.44,Pedley Square Veterinary Clinic
544,Riverside,33.99,-117.44,Vet Err Done Mobile Veterinary Practice
545,Riverside,33.99,-117.44,Lincoln Plaza Veterinary Clinic
546,Riverside,33.99,-117.44,La Sierra Veterinary Clinic
547,Riverside,33.99,-117.44,The Pets Place Animal Hospital
548,Riverside,33.99,-117.44,Animal and Bird Veterinary Medical Center
549,Riverside,33.99,-117.44,Tillema Veterinary Clinic
550,Riverside,33.99,-117.44,Equine Veterinary Specialists
551,Riverside,33.99,-117.44,Woodcrest Veterinary Clinic
552,Riverside,33.99,-117.44,California Veterinary Specialists
553,Riverside,33.99,-117.44,Rancho Regional Veterinary Hospital
554,La Habra Hts,33.94,-117.95,Sunny Hills Veterinary Hospital
555,La Habra Hts,33.94,-117.95,Healthy Paws Veterinary Care
556,La Habra Hts,33.94,-117.95,Brea Veterinary Hospital
557,La Habra Hts,33.94,-117.95,Founders Veterinary Clinic
560,La Habra Hts,33.94,-117.95,University Veterinary Center
561,La Habra Hts,33.94,-117.95,La Palma Veterinary Hospital
562,La Habra Hts,33.94,-117.95,Placentia Veterinary Clinic Inc.
564,La Habra Hts,33.94,-117.95,Olinda Veterinary Hospital
565,La Habra Hts,33.94,-117.95,Circle Of Friends Veterinary
566,La Habra Hts,33.94,-117.95,Diamond Bar Veterinary
567,La Habra Hts,33.94,-117.95,Equine veterinary Associates
568,La Habra Hts,33.94,-117.95,Westminster Veterinary
571,La Habra Hts,33.94,-117.95,Paws N Claws Veterinary Hospital
644,Fairfield,38.28,-122.0,Travis Veterinary Clinic
645,Fairfield,38.28,-122.0,All 4 Paws Veterinary Hospital
646,Fairfield,38.28,-122.0,Pawsh Place Veterinary Center & Boutique
647,Fairfield,38.28,-122.0,Barney & Russum Veterinary
648,Fairfield,38.28,-122.0,Vaca Valley Veterinary
649,Fairfield,38.28,-122.0,Mid-Valley Veterinary Hospital
650,Anaheim,33.82,-117.91,Veterinary Hospital - Garden Grove
651,Anaheim,33.82,-117.91,OC Veterinary Medical Center
652,Anaheim,33.82,-117.91,Orange Villa Veterinary
653,Anaheim,33.82,-117.91,Veterinary Out Patient Clinic
654,Anaheim,33.82,-117.91,Santa Ana Veterinary Hospital Inc
655,Anaheim,33.82,-117.91,Veterinary Surgical Specialists
657,Anaheim,33.82,-117.91,VCA Orange County Veterinary Specialists
659,Anaheim,33.82,-117.91,Veterinary Neurology Center
660,Anaheim,33.82,-117.91,OC Veterinary Assistant School
662,Anaheim,33.82,-117.91,Orange Veterinary Hospital
665,Anaheim,33.82,-117.91,Community Veterinary Hospital
666,Anaheim,33.82,-117.91,Orange Olive Veterinary Hospital
667,Anaheim,33.82,-117.91,Integrative Veterinary Clinic
668,Anaheim,33.82,-117.91,Orange Hill Veterinary Hospital
670,Anaheim,33.82,-117.91,Southern California Veterinary Specialty Hospital
671,Anaheim,33.82,-117.91,North Tustin Veterinary Clinic
672,Anaheim,33.82,-117.91,Santa Ana Veterinary
678,Anaheim,33.82,-117.91,Chapman Veterinary Hospital
680,Anaheim,33.82,-117.91,Tustin Santa Ana Veterinary Hospital
684,Anaheim,33.82,-117.91,The Newport Beach Veterinary Clinic
685,Anaheim,33.82,-117.91,Advanced Veterinary Medical Imaging
686,Anaheim,33.82,-117.91,Advanced Veterinary Care Center
687,Anaheim,33.82,-117.91,BluePrints Veterinary Marketing Group
689,Anaheim,33.82,-117.91,JYK Veterinary Clinic
690,Anaheim,33.82,-117.91,Sea Gate Veterinary Hospital
691,Anaheim,33.82,-117.91,Advanced Veterinary Internal Medicine
